Facebook,LinkedIn,Pinterest,Tumblr,Twitter,Google,Apple,eBay,Leadership Average
23,25,19.0,23,21,21,28,28,22.8
77,75,81.0,77,79,79,72,72,77.2
74,65,,63,72,72,64,72,68.25
19,28,,24,24,23,21,23,22.0
4,4,,6,0,1,6,2,4.0
2,1,,3,2,1,3,2,2.5
1,3,,2,0,1,0,1,0.75
0,<1,,2,2,<1,6,<1,2.5
23,30,16.0,24,22,22,28,29,22.6
77,70,84.0,76,78,78,72,71,77.4
73,63,47.0,73,72,72,63,71,65.6
21,30,42.0,19,28,23,21,24,26.2
3,4,0.0,2,0,1,6,2,2.2
2,1,0.0,1,0,2,3,2,1.2
1,2,11.0,2,0,2,0,1,2.8
1,0,0.0,3,0,<1,6,<1,2.0
27,35,17.0,22,30,24,28,32,24.8
73,65,83.0,78,70,76,72,68,75.2
71,63,70.0,72,74,70,67,65,70.8
21,30,22.0,22,20,25,21,29,21.2
3,3,4.0,3,3,1,7,3,4.0
3,1,0.0,0,2,2,3,2,1.6
2,3,4.0,0,1,2,1,1,1.6
1,0,0.0,4,0,<1,0,0,1.0
