Facebook,LinkedIn,Pinterest,Tumblr,Twitter,Google,Apple,eBay,Overall Average
31,39,40,37,30,30,32,42,35.3333333333
69,61,60,63,70,70,68,58,64.6666666667
57,53,50,50,59,61,56,61,55.5
34,38,42,39,29,30,19,24,31.1666666667
4,4,2,4,3,3,12,5,5.0
2,2,1,2,2,2,9,7,3.83333333333
3,2,0,2,3,4,2,1,1.83333333333
0,1,5,2,4,0,3,1,2.5
32,42,42,37,30,30,31,43,35.8333333333
68,58,58,62,70,70,69,57,64.0
55,56,49,50,59,60,54,60,54.5
36,37,43,39,29,31,18,25,31.6666666667
4,4,2,4,3,3,11,5,4.83333333333
2,2,1,2,2,2,8,8,3.83333333333
3,1,3,2,3,3,2,1,2.33333333333
0,<1,1,3,4,<1,7,1,2.66666666667
33,42,44,37,37,31,32,38,36.8333333333
67,58,56,63,63,69,68,62,63.1666666667
52,56,49,45,57,59,56,52,51.8333333333
38,37,41,44,32,32,19,40,35.6666666667
4,4,4,4,4,3,12,4,5.33333333333
2,2,2,2,3,2,9,2,3.33333333333
3,1,4,2,3,3,2,1,2.5
1,<1,1,3,1,<1,1,1,1.33333333333
