Facebook,LinkedIn,Pinterest,Tumblr,Twitter,Google,Apple,eBay,Tech Average
15,17,21.0,15,10,17,20,24,16.2
85,83,79.0,85,90,83,80,76,83.8
53,34,,35,58,60,54,40,50.0
41,60,,57,34,33,23,55,38.75
3,3,,3,3,2,7,2,4.0
1,1,,1,1,1,6,2,2.25
2,1,,1,2,3,2,1,1.75
0,<1,,2,2,<1,8,<1,3.0
16,18,21.0,16,13,18,21,24,17.4
84,82,79.0,84,87,82,79,76,82.6
51,34,35.0,31,56,59,53,39,45.2
43,61,60.0,61,37,35,25,56,45.2
3,3,2.0,3,3,2,8,2,3.8
1,1,1.0,1,1,1,7,2,2.2
2,1,2.0,1,1,3,2,<1,1.6
0,<1,0.0,3,2,<1,6,<1,2.2
17,20,26.0,17,15,19,23,22,19.6
83,80,74.0,83,85,81,77,78,80.4
48,35,36.0,31,52,57,55,31,44.4
46,59,57.0,62,39,37,27,65,46.2
3,3,3.0,2,4,3,8,2,4.0
1,1,2.0,1,2,1,8,1,2.8
2,2,2.0,1,3,3,2,1,2.0
1,1,0.0,3,1,<1,1,0,1.2
